Usuario: ,Javier,Movimiento: Registrar Producto,Codigo de Producto: ,1001,Fecha: ,(12/10/2025)
Usuario: ,Melissa,Movimiento: Registrar Producto,Codigo de Producto: ,1004,Fecha: ,(13/10/2025)
Usuario: ,Vianney,Movimiento: Registrar Producto,Codigo de Producto: ,1009,Fecha: ,(14/10/2025)
Usuario: ,Luis,Movimiento: Registrar Producto,Codigo de Producto: ,1012,Fecha: ,(15/10/2025)
Usuario: ,Miguel,Movimiento: Registrar Producto,Codigo de Producto: ,1017,Fecha: ,(16/10/2025)
Usuario: ,Melissa,Movimiento: Registrar Producto,Codigo de Producto: ,1002,Fecha: ,(12/11/2025)
Usuario: ,Javier,Movimiento: Registrar Producto,Codigo de Producto: ,1005,Fecha: ,(13/11/2025)
Usuario: ,Luis,Movimiento: Registrar Producto,Codigo de Producto: ,1010,Fecha: ,(14/11/2025)
Usuario: ,Vianney,Movimiento: Registrar Producto,Codigo de Producto: ,1013,Fecha: ,(15/11/2025)
Usuario: ,Miguel,Movimiento: Registrar Producto,Codigo de Producto: ,1018,Fecha: ,(16/11/2025)
Usuario: ,Luis,Movimiento: Registrar Producto,Codigo de Producto: ,1003,Fecha: ,(18/10/2025)
Usuario: ,Javier,Movimiento: Registrar Producto,Codigo de Producto: ,1007,Fecha: ,(19/10/2025)
Usuario: ,Miguel,Movimiento: Registrar Producto,Codigo de Producto: ,1011,Fecha: ,(20/10/2025)
Usuario: ,Melissa,Movimiento: Registrar Producto,Codigo de Producto: ,1014,Fecha: ,(21/10/2025)
Usuario: ,Vianney,Movimiento: Registrar Producto,Codigo de Producto: ,1020,Fecha: ,(22/10/2025)
Usuario:,Miguel,Movimiento: Registrar Producto,Codigo del Producto:,1023,Fecha:,2025-11-28 12:12:29.311313
Usuario:,Miguel,Movimiento: Registrar Producto,Codigo del Producto:,1025,Fecha:,2025-11-28 12:20:26.476894
Usuario:,Miguel,Movimiento: Registrar Venta,Codigo de Producto:,1020,Fecha:,2025-11-28 12:37:11.359432
Usuario:,Miguel,Movimiento: Registrar Venta,Codigo de Producto:,1020,Fecha:,2025-11-28 12:38:07.339582
